TF,Symbol,Entry,Direct,Name,Trades Total,Trades Winners,Trades Losers,Total PnL (pts),Avg PnL (pts),Max Profit (pts),Avg Profit (pts),Avg Loss (pts),Max Loss (pts)
M20,WDO$,17h00 + Intra Var < -0.1,Short,WDO$ - 17h00 + Intra Var lt -0.1 - Short,565.0,312.0,253.0,537.1400000000049,0.9506902654867343,52.39300000000003,9.237490384615398,-9.268604743083001,-44.909999999999854
M20,WDO$,17h00 + Intra Var > 0.0,Long,WDO$ - 17h00 + Intra Var gt 0.0 - Long,628.0,367.0,261.0,1061.0809999999938,1.6896194267515825,106.07999999999993,9.812893732970041,-9.732762452107321,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 0.0,Short,WDO$ - 17h00 + Intra Var gt 0.0 - Short,628.0,283.0,345.0,-1061.0809999999929,-1.689619426751581,54.55500000000029,8.97615194346294,-10.438643478260884,-106.07999999999993
M20,WDO$,17h00 + Intra Var < 0.0,Long,WDO$ - 17h00 + Intra Var lt 0.0 - Long,609.0,286.0,323.0,-584.7610000000032,-0.9601986863711054,44.909999999999854,8.790748251748248,-9.594164086687313,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 0.0,Short,WDO$ - 17h00 + Intra Var lt 0.0 - Short,609.0,334.0,275.0,584.7610000000032,0.9601986863711054,52.39300000000003,9.278188622754493,-9.142378181818174,-44.909999999999854
M20,WDO$,17h00 + Intra Var > 0.1,Long,WDO$ - 17h00 + Intra Var gt 0.1 - Long,559.0,326.0,233.0,908.460999999992,1.625153846153832,106.07999999999993,9.915601226993873,-9.974356223176011,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 0.1,Short,WDO$ - 17h00 + Intra Var gt 0.1 - Short,559.0,254.0,305.0,-908.460999999992,-1.625153846153832,54.55500000000029,9.14970472440949,-10.59831475409837,-106.07999999999993
M20,WDO$,17h00 + Intra Var < 0.1,Long,WDO$ - 17h00 + Intra Var lt 0.1 - Long,686.0,331.0,355.0,-414.96600000000035,-0.6049067055393591,44.909999999999854,8.82956797583082,-9.401557746478877,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 0.1,Short,WDO$ - 17h00 + Intra Var lt 0.1 - Short,686.0,368.0,318.0,414.96600000000035,0.6049067055393591,52.39300000000003,9.069437500000005,-9.190525157232708,-44.909999999999854
M20,WDO$,17h00 + Intra Var > 0.3,Long,WDO$ - 17h00 + Intra Var gt 0.3 - Long,416.0,251.0,165.0,739.1779999999944,1.7768701923076788,106.07999999999993,9.897446215139457,-10.576248484848541,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 0.3,Short,WDO$ - 17h00 + Intra Var gt 0.3 - Short,416.0,179.0,237.0,-739.1779999999935,-1.7768701923076766,54.55500000000029,9.749055865921845,-10.482105485232083,-106.07999999999993
M20,WDO$,17h00 + Intra Var < 0.3,Long,WDO$ - 17h00 + Intra Var lt 0.3 - Long,829.0,406.0,423.0,-245.68300000000272,-0.29636067551266915,104.63299999999981,9.041413793103448,-9.258858156028376,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 0.3,Short,WDO$ - 17h00 + Intra Var lt 0.3 - Short,829.0,443.0,386.0,245.68300000000272,0.29636067551266915,52.39300000000003,8.840851015801361,-9.509880829015545,-104.63299999999981
M20,WDO$,17h00 + Intra Var > 0.5,Long,WDO$ - 17h00 + Intra Var gt 0.5 - Long,324.0,199.0,125.0,827.3269999999966,2.5534783950617177,106.07999999999993,10.894070351758817,-10.724744000000065,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 0.5,Short,WDO$ - 17h00 + Intra Var gt 0.5 - Short,324.0,134.0,190.0,-827.3269999999966,-2.5534783950617177,54.55500000000029,10.004425373134389,-11.410105263157918,-106.07999999999993
M20,WDO$,17h00 + Intra Var < 0.5,Long,WDO$ - 17h00 + Intra Var lt 0.5 - Long,921.0,458.0,463.0,-333.832000000004,-0.362466883821937,104.63299999999981,8.70557423580786,-9.332580993520528,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 0.5,Short,WDO$ - 17h00 + Intra Var lt 0.5 - Short,921.0,488.0,433.0,333.8320000000049,0.362466883821938,52.39300000000003,8.854477459016403,-9.208205542725171,-104.63299999999981
M20,WDO$,17h00 + Intra Var > 1.0,Long,WDO$ - 17h00 + Intra Var gt 1.0 - Long,156.0,102.0,54.0,664.8740000000007,4.262012820512825,42.76000000000022,13.167480392156895,-12.559425925925973,-54.55500000000029
M20,WDO$,17h00 + Intra Var > 1.0,Short,WDO$ - 17h00 + Intra Var gt 1.0 - Short,156.0,58.0,98.0,-664.8739999999998,-4.262012820512819,54.55500000000029,11.693258620689715,-13.704928571428605,-42.76000000000022
M20,WDO$,17h00 + Intra Var < 1.0,Long,WDO$ - 17h00 + Intra Var lt 1.0 - Long,1089.0,555.0,534.0,-171.379000000009,-0.1573728191001001,106.07999999999993,8.670252252252254,-9.332151685393276,-52.39300000000003
M20,WDO$,17h00 + Intra Var < 1.0,Short,WDO$ - 17h00 + Intra Var lt 1.0 - Short,1089.0,564.0,525.0,171.3790000000099,0.15737281910010092,52.39300000000003,8.83576063829789,-9.165695238095237,-106.07999999999993
M20,WDO$,17h00 + Intra Var > 3.0,Long,WDO$ - 17h00 + Intra Var gt 3.0 - Long,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var > 3.0,Short,WDO$ - 17h00 + Intra Var gt 3.0 - Short,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var < 3.0,Long,WDO$ - 17h00 + Intra Var lt 3.0 - Long,1245.0,657.0,588.0,493.4949999999926,0.39638152610441174,106.07999999999993,9.368452054794526,-9.628534013605462,-54.55500000000029
M20,WDO$,17h00 + Intra Var < 3.0,Short,WDO$ - 17h00 + Intra Var lt 3.0 - Short,1245.0,622.0,623.0,-493.4949999999899,-0.3963815261044095,54.55500000000029,9.102215434083622,-9.879731942215093,-106.07999999999902
M20,WDO$,17h00 + Intra Var > 5.0,Long,WDO$ - 17h00 + Intra Var gt 5.0 - Long,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var > 5.0,Short,WDO$ - 17h00 + Intra Var gt 5.0 - Short,0.0,0.0,0.0,0.0,,,,,
M20,WDO$,17h00 + Intra Var < 5.0,Long,WDO$ - 17h00 + Intra Var lt 5.0 - Long,1245.0,657.0,588.0,493.4949999999926,0.39638152610441174,106.07999999999993,9.368452054794526,-9.628534013605462,-54.55500000000029
M20,WDO$,17h00 + Intra Var < 5.0,Short,WDO$ - 17h00 + Intra Var lt 5.0 - Short,1245.0,622.0,623.0,-493.4949999999899,-0.3963815261044095,54.55500000000029,9.102215434083622,-9.879731942215093,-106.07999999999902
